date,total
2010-12-31,41
2011-01-01,3
2011-01-02,2
2011-01-04,1
2011-01-05,1
2011-01-07,1
2011-01-10,2
2011-01-11,2
2011-01-12,4
2011-01-13,7
2011-01-14,21
2011-01-17,13
2011-01-18,11
2011-01-19,13
2011-01-20,37
2011-01-21,47
2011-01-24,62
2011-01-25,53
2011-01-26,58
2011-01-27,43
2011-01-28,84
2011-01-31,114
2011-02-01,96
2011-02-02,187
2011-02-03,115
2011-02-04,155
2011-02-07,131
2011-02-08,111
2011-02-09,149
2011-02-10,154
2011-02-11,200
2011-02-14,162
2011-02-15,198
2011-02-16,147
2011-02-17,196
2011-02-18,192
2011-02-20,6
2011-02-21,174
2011-02-22,257
2011-02-23,311
2011-02-24,290
2011-02-25,277
2011-02-26,4
2011-02-27,2
2011-02-28,323
2011-03-01,346
2011-03-02,416
2011-03-03,434
2011-03-04,306
2011-03-06,2
2011-03-07,383
2011-03-08,303
2011-03-09,479
2011-03-10,566
2011-03-11,419
2011-03-14,440
2011-03-15,659
2011-03-16,513
2011-03-17,756
2011-03-18,537
2011-03-19,15
2011-03-21,357
2011-03-22,510
2011-03-23,672
2011-03-24,685
2011-03-25,651
2011-03-26,26
2011-03-27,4
2011-03-28,644
2011-03-29,748
2011-03-30,932
2011-03-31,901
2011-04-01,652
2011-04-02,38
2011-04-03,18
2011-04-04,609
2011-04-05,737
2011-04-06,839
2011-04-07,629
2011-04-08,586
2011-04-09,2
2011-04-11,783
2011-04-12,811
2011-04-13,542
2011-04-14,577
2011-04-15,695
2011-04-16,1
2011-04-17,25
2011-04-18,611
2011-04-19,602
2011-04-20,736
2011-04-21,597
2011-04-22,17
2011-04-23,3
2011-04-24,2
2011-04-25,94
2011-04-26,430
2011-04-27,547
2011-04-28,706
2011-04-29,738
2011-04-30,20
2011-05-01,66
2011-05-02,607
2011-05-03,604
2011-05-04,663
2011-05-05,637
2011-05-06,703
2011-05-08,65
2011-05-09,639
2011-05-10,449
2011-05-11,436
2011-05-12,795
2011-05-13,465
2011-05-15,19
2011-05-16,616
2011-05-17,558
2011-05-18,539
2011-05-19,628
2011-05-20,377
2011-05-21,1
2011-05-22,6
2011-05-23,466
2011-05-24,496
2011-05-25,636
2011-05-26,678
2011-05-27,441
2011-05-28,1
2011-05-29,4
2011-05-30,473
2011-05-31,546
2011-06-01,637
2011-06-02,581
2011-06-03,380
2011-06-05,3
2011-06-06,558
2011-06-07,555
2011-06-08,546
2011-06-09,436
2011-06-10,692
2011-06-11,9
2011-06-12,17
2011-06-13,482
2011-06-14,453
2011-06-15,540
2011-06-16,447
2011-06-17,380
2011-06-20,517
2011-06-21,825
2011-06-22,548
2011-06-23,500
2011-06-24,427
2011-06-26,13
2011-06-27,684
2011-06-28,443
2011-06-29,491
2011-06-30,752
2011-07-01,406
2011-07-02,14
2011-07-03,11
2011-07-04,746
2011-07-05,2
2011-07-06,509
2011-07-07,657
2011-07-08,337
2011-07-09,1
2011-07-10,15
2011-07-11,577
2011-07-12,602
2011-07-13,568
2011-07-14,481
2011-07-15,618
2011-07-18,467
2011-07-19,715
2011-07-20,576
2011-07-21,601
2011-07-22,550
2011-07-23,57
2011-07-25,629
2011-07-26,432
2011-07-27,504
2011-07-28,356
2011-07-29,588
2011-07-30,32
2011-07-31,72
2011-08-01,307
2011-08-02,415
2011-08-03,387
2011-08-04,445
2011-08-05,459
2011-08-07,37
2011-08-08,306
2011-08-09,408
2011-08-10,558
2011-08-11,430
2011-08-12,370
2011-08-14,3
2011-08-15,404
2011-08-16,461
2011-08-17,278
2011-08-18,253
2011-08-19,375
2011-08-22,276
2011-08-23,357
2011-08-24,434
2011-08-25,383
2011-08-26,458
2011-08-28,41
